"PROGRAMME","NOM_COURT","APPLICATION","ANNEE","MOIS","STATUT","NB_EXECUTIONS","DUREE_MOY_MIN","DUREE_MAX_MIN","DUREE_MIN_MIN","DUREE_TOTALE_MIN"
"PÃ©riodes - Fermer une pÃ©riode","GLOCPP","SQLGL","2026","2026-04","Normal",5472,"0.12","0.42","0.03","647.60"
"DKA : Lanceur (SHELL)","DKA_SLAUNCHER","DKA","2026","2026-04","Warning",5424,"8.18","1773.13","0.35","44343.33"
"Programme maÃ®tre de l'interface factures","RAXMTR","AR","2026","2026-04","Normal",5360,"1.10","5.83","0.33","5905.33"
"Import par l'interface factures","RAXTRX","AR","2026","2026-04","Normal",5360,"0.93","5.58","0.17","4975.73"
"Rapprochement - Rapprochement automatique","GLXRCAUT","SQLGL","2026","2026-04","Normal",5352,"0.11","12.07","0.05","569.87"
"DKA : Consolidation VECTOR","DKA_IEOGLVEC01_MAIN","DKA","2026","2026-04","Normal",4760,"0.45","6.70","0.00","2127.07"
"DKA : GÃ©nÃ©ration du fichier VECTOR","DKA_IEOGLVEC01_FILE","DKA","2026","2026-04","Normal",4728,"0.01","0.03","0.00","60.80"
"DKA : Balance VECTOR","DKA_IEOGLVEC01_RDF","DKA","2026","2026-04","Normal",4728,"0.12","1.15","0.05","543.73"
"DKA : Edition des factures de refacturation","DKA_SARREFAC_GPE","DKA","2026","2026-04","Normal",4488,"0.51","1.48","0.25","2267.87"
"Jeu d'Ã©tats","FNDRSSUB","FND","2026","2026-04","Warning",4368,"2.18","12.93","1.63","9531.73"
"PRC : Traiter les mises Ã  jour de structure de projet","PAPMPRPB","PA","2026","2026-04","Normal",4352,"0.08","0.27","0.00","351.07"
"DKA : Interface de crÃ©ation des codes projets, tÃ¢ches et affaire","DKA_IPROJECT","DKA","2026","2026-04","Warning",4352,"2.04","3.63","1.57","8877.07"
"DKA : Interface des centres finances","DKA_ICENTREFIN","DKA","2026","2026-04","Warning",4352,"0.02","0.08","0.00","90.67"
"PRC : Coefficients des frais gÃ©nÃ©raux compilÃ©s lors de l'ajout d'une nouvelle organisation","PACOANOR","PA","2026","2026-04","Normal",4352,"0.01","0.05","0.00","62.67"
"DKA : CrÃ©ation du fichier avis de prÃ©lÃ¨vement","DKA_RARPREL_PDF","DKA","2026","2026-04","Normal",4024,"0.06","0.08","0.05","253.73"
"DKA : Mise Ã  jour quotidienne des sites fournisseurs dupliquÃ©s","DKA_SAPFRSDUPLI_MAJ","DKA","2026","2026-04","Normal",3984,"0.33","15.52","0.00","1332.27"
"DKA : DÃ©sactivation/rÃ©activation d'un site de rÃ¨glement fournisseur","DKA_SPOSTFNS_DESACT","DKA","2026","2026-04","Normal",3800,"0.01","0.17","0.00","19.20"
"DKA : France - DÃ©claration dÃ©taillÃ©e de la TVA dÃ©ductible","DKA_JEFRTXDC","DKA","2026","2026-04","Normal",3176,"30.44","8941.75","1.97","96681.73"
"DKA : Calcul des TEC et PCA","DKA_SPATRAVCOURS","DKA","2026","2026-04","Normal",3168,"0.53","42.82","0.00","1681.20"
"DKA : Gestion des CCA sur sinistres","DKA_SPASINISTRE","DKA","2026","2026-04","Normal",3168,"0.10","2.08","0.00","320.40"
"DKA : Balance grand format","DKA_GLYRLBGE","DKA","2026","2026-04","Normal",3144,"0.13","0.60","0.10","405.87"
"DKA : SOX - Ouverture/Fermeture/Deblocage de commande","DKA_SPOOUVFERCOM","DKA","2026","2026-04","Normal",3048,"0.01","0.93","0.00","36.93"
"RÃ©initialiser les indicateurs de provisions de fin de pÃ©riode","POXRAF","PO","2026","2026-04","Normal",2896,"0.33","1.47","0.17","948.80"
"Soldes des pÃ©riodes ouvertes","XLABAOPE","XLA","2026","2026-04","Normal",2744,"0.52","1.37","0.03","1421.60"
"Imputation : Livre unique","GLPPOSS","SQLGL","2026","2026-04","Normal",2680,"0.09","5.15","0.02","243.87"
"Programme - Contrepassation automatique","GLPARV","SQLGL","2026","2026-04","Normal",2640,"4.80","703.33","0.03","12681.87"
"DKA : Etat dÃ©claratif de la TVA dans GL","DKA_GL_DECLAR_TVA","DKA","2026","2026-04","Normal",2592,"0.11","0.17","0.05","278.40"
"DKA : TVA Collectee : Ã©tat prÃ©paratoire","DKA_TVACOLLECTEE","DKA","2026","2026-04","Normal",2504,"0.93","32.75","0.47","2330.40"
"DKA : France - DÃ©claration de la TVA dÃ©ductible","DKA_RJETVADEDUC","DKA","2026","2026-04","Normal",2448,"1.71","365.77","0.18","4193.73"
"DKA : Etat justificatif des comptes de TVA sur dÃ©caissement.","DKA_RAPJUSTTVADEC","DKA","2026","2026-04","Normal",2448,"1.78","463.10","0.05","4349.87"
"DKA : Registre des rÃ¨glements non lettrÃ©s","DKA_ARXCOA2","DKA","2026","2026-04","Normal",2440,"12.19","18.22","0.07","29742.13"
"DKA : Etat justificatif de l'en-cours de TVA sur encaissement","DKA_AR_JUST_TVA_ENC","DKA","2026","2026-04","Normal",2440,"3.62","90.20","1.63","8822.27"
"Formater les instructions de rÃ¨glement","IBY_FD_PAYMENT_FORMAT","IBY","2026","2026-04","Normal",2032,"0.10","0.23","0.08","209.60"
"DKA : Duplication en masse des sites fournisseurs","DKA_SAPFRSDUPLI_MASSE","DKA","2026","2026-04","Normal",1944,"0.10","2.50","0.00","199.87"
"XXRB - Detail rapprochement automatique","RBMAEDLN","XXRB","2026","2026-04","Normal",1912,"0.20","1.17","0.05","376.93"
"Interface rÃ¨glements","ARLPLB","AR","2026","2026-04","Normal",1800,"0.34","17.62","0.22","611.33"
"Provisions pour rÃ©ception - Fin de pÃ©riode","CSTPEACR","BOM","2026","2026-04","Normal",1696,"0.14","4.92","0.02","229.87"
"DQM - Programme de synchronisation d'index en sÃ©rie","ARHDQMSS","AR","2026","2026-04","Normal",1568,"0.30","0.62","0.03","477.87"
"CrÃ©er une comptabilisation - Receiving","CSTCRACCRCV","BOM","2026","2026-04","Normal",1472,"1.67","5.18","0.32","2459.07"
"Etat de la comptabilisation auxiliaire sur plusieurs pÃ©riodes et des contrepassations de piÃ¨ce de provision","XLARPMPX","XLA","2026","2026-04","Normal",1456,"0.31","0.52","0.07","449.60"
"Sous-demande interface clients","RACUSTSB","AR","2026","2026-04","Normal",1424,"16.09","98.93","0.00","22911.73"
"Jeu d'Ã©tats","FNDRSSUB","FND","2026","2026-04","Normal",1424,"27.47","1491.05","0.03","39122.27"
"DKA : traitement de gÃ©nÃ©ration du CUT OFF SSTR IVALUA","DKA_SPOCUT_OFF_SSTR_IVALUA","DKA","2026","2026-04","Normal",1416,"0.18","1.00","0.00","248.40"
"DKA : traitement de gÃ©nÃ©ration du CUT OFF","DKA_SPOCUT_OFF","DKA","2026","2026-04","Normal",1416,"0.26","2.97","0.00","361.60"
"PRC : TransfÃ©rer les notes de frais depuis Oracle Payables","PAAPIMP","PA","2026","2026-04","Normal",1248,"0.79","2.42","0.05","989.33"
"XXRB - Rapprochement","RBMATCHG","XXRB","2026","2026-04","Normal",1144,"0.29","1.53","0.00","328.13"
"XXRB - Balance de rapprochement","RBMAEDBL","XXRB","2026","2026-04","Normal",1104,"0.18","0.80","0.05","195.87"
"Programme de crÃ©ation de remises automatiques (API)","AUTOREMAPI","AR","2026","2026-04","Normal",1040,"1.03","1.25","1.00","1072.13"
"RÃ©imprimer le rÃ©sultat des traitements simultanÃ©s","FNDREPRINT","FND","2026","2026-04","Normal",1032,"0.00","0.02","0.00","1.07"
"DKA : France - Bordereau des prÃ©lÃ¨vements clients","DKAPR02","AR","2026","2026-04","Normal",1032,"0.08","0.20","0.05","79.60"
"DKA : Edition des relevÃ©s bancaires pour les CSP","DKA_SRBRELBANC_CSP","DKA","2026","2026-04","Normal",872,"0.61","1.18","0.02","534.93"
"DKA : Extourne des TEC et PCA","DKA_SPATRAVCOURS_EXTOURNE","DKA","2026","2026-04","Normal",768,"1.17","8.83","0.30","901.73"
"DKA : Extourne CCA sur sinistre","DKA_SPASINISTRE_EXTOURNE","DKA","2026","2026-04","Normal",744,"0.44","0.58","0.00","328.27"
"DKA : Etat des prÃ©lÃ¨vements remis en banque","DKA_RAR_PRELEVBQUE","DKA","2026","2026-04","Normal",704,"0.09","0.17","0.07","62.00"
"DKA : Automatisation des prÃ©lÃ¨vements remis en banque","DKA_SARAUTOPRELEVBQUE","DKA","2026","2026-04","Normal",704,"0.50","0.52","0.50","354.80"
"XXRB - Simulation rapprochement automatique","RBMATSIM","XXRB","2026","2026-04","Normal",640,"0.50","0.52","0.50","322.27"
"DKA : Traitement de validation des factures CSP","DKA_SAPWFCSP","DKA","2026","2026-04","Normal",624,"8.21","24.73","0.00","5120.00"
"DKA : Envoi par mail des fichiers de situation Oracle du matin","DKA_SCTRLMOD_MOA_MAIL","DKA","2026","2026-04","Normal",600,"0.01","0.03","0.00","4.53"
"DKA : Situation Oracle du matin","DKA_SCTRLMOD_MOA_EDT","DKA","2026","2026-04","Normal",592,"35.84","235.98","0.38","21214.40"
"DKA : Reporting des mvts sans image","DKA_SAPRPT_MVTS_SANS_IMAGE","DKA","2026","2026-04","Normal",512,"0.08","0.12","0.07","41.47"
"XXRB - Rapprochement automatique","RBMATRUN","XXRB","2026","2026-04","Normal",464,"1.53","2.78","0.50","710.93"
"Processeur des mouvements de rÃ©ception","RVCTP","PO","2026","2026-04","Normal",400,"1.15","6.47","0.02","460.00"
"EasyLink","GLLEZL","SQLGL","2026","2026-04","Warning",392,"0.02","0.07","0.00","8.40"
"DKA : Mise Ã  jour commande - CUF Calcul des provisions","DKA_SPOMAJCP","DKA","2026","2026-04","Warning",376,"0.00","0.02","0.00","0.67"
"DKA : Mise Ã  jour commande - CUF Calcul des provisions","DKA_SPOMAJCP","DKA","2026","2026-04","Normal",360,"0.00","0.02","0.00","1.73"
"Purger traitements et/ou donnÃ©es des GTS","FNDCPPUR","FND","2026","2026-04","Normal",360,"0.25","1.18","0.02","91.20"
"Traitement du processeur enfant de validation de factures","WORKERAPPRVL","SQLAP","2026","2026-04","Warning",360,"9.65","17.45","5.20","3474.93"
"DKA : Transfert des Ã©critures d'ajustements AR vers PA","DKA_SPAAJUSTAR_TRANSFER","DKA","2026","2026-04","Normal",352,"0.01","0.03","0.00","3.07"
"DKA : Import des commandes depuis iValua","DKA_IPOCDE_IVALUA","DKA","2026","2026-04","Warning",352,"5.63","25.78","0.05","1981.20"
"DKA : Comptabilisation AR","DKA_SXLAACCPBAR","DKA","2026","2026-04","Normal",352,"2.34","10.88","0.68","824.67"
"Processus Workflow en arriÃ¨re-plan","FNDWFBG","FND","2026","2026-04","Normal",352,"1.36","17.18","0.00","480.40"
"DKA : Interface des factures manuelles sur projets","DKA_SARFACMAN","DKA","2026","2026-04","Normal",352,"9.37","17.93","4.73","3296.53"
"DKA : Import des donnÃ©es Fournisseurs depuis iValua","DKA_IPOFRS_IVALUA","DKA","2026","2026-04","Warning",328,"4.03","10.17","0.10","1320.53"
"Copie en haut volume pÃ©riodique","FAMCP","OFA","2026","2026-04","Warning",312,"0.05","0.12","0.00","14.13"
"DKA : Import des donnÃ©es Fournisseurs depuis iValua - Chargement des fichiers","DKA_IPOFRS_IVALUA_LOADER","DKA","2026","2026-04","Normal",296,"1.01","1.57","0.33","300.13"
"Collecter les statistiques du schÃ©ma","FNDGSCST","FND","2026","2026-04","Normal",280,"21.20","265.30","0.55","5935.73"
"Collecter les statistiques de la table","FNDGTST","FND","2026","2026-04","Normal",272,"0.63","3.20","0.02","170.00"
"Ajouter/supprimer comptes de synthÃ¨se","GLSTPM","SQLGL","2026","2026-04","Normal",264,"13.30","13.50","13.12","3511.87"
"DKA : Rapprochement automatique RB sur toutes sociÃ©tÃ©s","DKA_SRBRAPAUTO","DKA","2026","2026-04","Normal",256,"2.83","7.75","2.25","725.60"
"Validation de factures","APPRVL","SQLAP","2026","2026-04","Warning",232,"16.44","31.52","10.82","3813.73"
"DKA : Confirmation des lots de rÃ¨glements pour prÃ©lÃ¨vement automatique","DKA_ARCONFIRMLOT","DKA","2026","2026-04","Normal",224,"1.83","2.68","1.00","410.13"
"DKA : Campagne de rÃ¨glements - CrÃ©ation du fichier APIMPORT","DKA_CREATE_APIMPORT_FILE","DKA","2026","2026-04","Normal",208,"0.00","0.02","0.00","0.80"
"DKA : Etat calcul du poids","DKA_SSATIPOIDS_RDF","DKA","2026","2026-04","Normal",208,"0.06","0.07","0.05","12.13"
"DKA : Mise Ã  jour commande - Imputations comptables","DKA_SPOMAJIC","DKA","2026","2026-04","Normal",208,"0.01","0.03","0.00","2.27"
"DKA : Campagne de rÃ¨glements - Alimentation des tables AP Import","DKA_IEOAPSAT01_APIMP","DKA","2026","2026-04","Normal",208,"0.03","0.05","0.02","6.80"
"DKA : Calcul du poids SATI et envoi de mail","DKA_SSATIPOIDSMAIL","DKA","2026","2026-04","Normal",208,"0.51","0.52","0.50","105.07"
"DKA : CrÃ©ation des lots de rÃ¨glements pour prÃ©lÃ¨vement automatique","DKA_ARLOTREG","DKA","2026","2026-04","Normal",208,"9.47","46.45","0.72","1970.00"
"DKA : RÃ¨glements automatiques toutes sociÃ©tÃ©s des factures fournisseurs","DKA_SAPAUTORGT","DKA","2026","2026-04","Normal",200,"63.76","91.93","14.90","12752.67"
"PRC : GÃ©nÃ©rer des lignes d'immobilisation pour un projet unique","PAXCPGAL_SINGLE","PA","2026","2026-04","Normal",200,"0.07","0.13","0.05","14.40"
"XXRB - Import fichier des banques","RBAFBIMP","XXRB","2026","2026-04","Warning",192,"0.14","0.28","0.05","27.60"
"DKA : ContrÃ´le des relevÃ©s bancaires","DKA_SRBCTRLRB","DKA","2026","2026-04","Normal",192,"0.10","0.20","0.08","19.60"
"DKA : Etat des avoirs Ã  rembourser","DKA_SARETAT_AVOIR_REG","DKA","2026","2026-04","Normal",192,"0.00","0.02","0.00","0.53"
"Sortie d'ordre d'achat pour communication","POXPOPDF","PO","2026","2026-04","Normal",192,"0.36","0.52","0.22","68.93"
"DKA : Rattachement de l'avis de virement au rÃ¨glement AP","DKA_SAPVIR_ATTACH","DKA","2026","2026-04","Normal",192,"1.11","4.28","0.02","214.00"
"DKA : Balance Ã¢gÃ©e client par chargÃ© de recouvrement (XLS)","DKA_RARBALCHARG","DKA","2026","2026-04","Normal",192,"0.21","0.28","0.10","40.40"
"DKA : Envoi des Ã©tats pour le prÃ©lÃ¨vement automatique","DKA_SARRGLTPRLV_MAIL","DKA","2026","2026-04","Normal",192,"0.01","0.02","0.00","1.87"
"Programme de configuration comptable General Ledger","GLSTFL","SQLGL","2026","2026-04","Normal",184,"0.01","0.03","0.00","2.27"
"Etat Imputation des acquisitions en haut volume","FAS824","OFA","2026","2026-04","Normal",176,"0.06","0.07","0.05","10.00"
"PRC : TransfÃ©rer des immobilisations vers Oracle Assets","PAXCPCAL","PA","2026","2026-04","Normal",176,"0.05","0.07","0.05","9.33"
"Imputation des acquisitions crÃ©Ã©es en haut volume","FAMAPT","OFA","2026","2026-04","Normal",176,"0.01","0.03","0.00","2.53"
"DKA : Balance Ã¢gÃ©e fournisseurs","DKA_APXINAGE","DKA","2026","2026-04","Normal",168,"0.22","0.90","0.05","36.93"
"DKA : Automatisation envoi avis de virement par mail","DKA_SAPAUTOVIR_MAIL","DKA","2026","2026-04","Normal",168,"3.42","11.08","0.33","575.33"
"DKA : Envoi avis de virement par mail","DKA_SAPVIR_MAIL","DKA","2026","2026-04","Normal",168,"0.15","0.57","0.00","25.20"
"Programme - Imputation automatique","GLPAUTOP","SQLGL","2026","2026-04","Normal",168,"0.05","0.08","0.03","8.00"
"DKA: Etat AR Balance Ã¢gÃ©e par chargÃ© de recouvrement","DKA_RARBALCHAR","DKA","2026","2026-04","Normal",160,"2.28","23.12","0.50","364.13"
"Imputation","GLPPOS","SQLGL","2026","2026-04","Normal",152,"7.57","18.25","0.05","1150.53"
"DKA : Import des donnÃ©es RÃ©ceptions depuis iValua","DKA_IPORECEPTION_IVALUA","DKA","2026","2026-04","Warning",152,"6.04","11.65","0.63","918.53"
"Balance Ã¢gÃ©e - 4 catÃ©gories","ARXAGE","AR","2026","2026-04","Normal",144,"0.44","0.67","0.27","63.60"
"DKA : IntÃ©gration des factures XEROX","DKA_IAPFACXGS","DKA","2026","2026-04","Normal",144,"34.40","67.82","12.57","4954.27"
"DKA : Rattachement des images Xerox","DKA_IAPLOADIMG_XEROX","DKA","2026","2026-04","Normal",136,"2.03","2.62","1.43","276.13"
"Compiler hiÃ©rarchies jeux de valeurs","FDFCHY","FND","2026","2026-04","Normal",136,"0.01","0.02","0.00","0.80"
"DKA : Comptabilisation AP","DKA_SXLAACCPB","DKA","2026","2026-04","Normal",128,"26.14","106.98","1.82","3345.87"
"DKA : Export de Blocages Factures pour le Datalake","DKA_SAPEXTDATABLOC","DKA","2026","2026-04","Normal",128,"0.31","1.15","0.22","40.00"
"DKA : Post traitement d'approbation du mouvement","DKA_SAPPOST_APPRO_MVT","DKA","2026","2026-04","Normal",128,"0.07","0.12","0.00","8.40"
"DKA : Imputation GL","DKA_SGLIMPUTATION","DKA","2026","2026-04","Normal",128,"9.23","18.67","0.35","1182.00"
"DKA : Edition de l'Ã©tat de Surtaxe communale","DKA_SARSURTAXE_RDF","DKA","2026","2026-04","Warning",128,"0.35","0.82","0.08","45.20"
"DKA : Annulation des notifications obsolÃ¨tes CSP","DKA_SAPWFCSPNTF","DKA","2026","2026-04","Normal",128,"0.05","0.13","0.00","6.53"
"DKA : Export des donnÃ©es factures AP pour Datalake","DKA_SAPEXTDATAFACT","DKA","2026","2026-04","Normal",128,"1.50","2.15","1.13","191.47"
"DKA : PAC : Importer les factures fournisseurs depuis Oracle AP","DKA_SPAAPIMP_SI","DKA","2026","2026-04","Normal",128,"2.36","5.28","1.52","302.67"
"DKA : CrÃ©ation blocages toutes sociÃ©tÃ©s avant comptabilisation factures AP","DKA_SAPCREATE_BLOCAGES_ALL","DKA","2026","2026-04","Normal",128,"0.52","0.53","0.40","66.40"
"DKA : PAC : TransfÃ©rer les notes de frais depuis Oracle Payables","DKA_SPAAPIMP","DKA","2026","2026-04","Normal",128,"0.02","0.07","0.00","2.53"
"Purger les donnÃ©es d'exÃ©cution de workflow obsolÃ¨tes","FNDWFPR","FND","2026","2026-04","Normal",128,"0.39","0.62","0.17","49.73"
"DKA : SÃ©lection des avoirs non soldÃ©s Ã  rembourser","DKA_SARSELECAVOIR","DKA","2026","2026-04","Normal",128,"0.04","0.05","0.03","5.07"
"DKA : Approbation toutes sociÃ©tÃ©s des factures fournisseurs","DKA_SAPAPPRVL","DKA","2026","2026-04","Normal",128,"36.27","52.50","29.55","4642.67"
"DKA : Automatisation de dÃ©blocage BAP factures rapprochÃ©es des commandes SSTR en PMTDIR","DKA_SAPDEBAUTOSSTR","DKA","2026","2026-04","Normal",128,"0.04","0.07","0.00","4.93"
"DKA : Transfert d'Ã©critures GL vers PA","DKA_SPACUTOFF_TRANSFER","DKA","2026","2026-04","Normal",120,"3.73","16.23","1.55","448.13"
"DKA : Chargement du fichier des factures ZCI - Loader","DKA_IAPFACZCI_LOADER","DKA","2026","2026-04","Normal",112,"0.34","0.35","0.33","38.13"
"DKA : Chargement du fichier des factures ZCI","DKA_LOAD_IAPFACZCI_TMP","DKA","2026","2026-04","Normal",112,"0.01","0.02","0.00","1.07"
"DKA : Alimentation des tables OA factures ZCI","DKA_POPULATE_ZCI_TABLES","DKA","2026","2026-04","Normal",112,"0.01","0.02","0.00","0.67"
"DKA : CrÃ©ation des lots de rÃ¨glements pour prÃ©lÃ¨vement automatique","DKA_ARLOTREG","DKA","2026","2026-04","Warning",104,"11.11","29.40","0.05","1155.07"
"DKA : Export des donnÃ©es Factures vers iValua","DKA_IAPFAC_IVALUA","DKA","2026","2026-04","Normal",104,"26.63","47.62","19.37","2769.73"
"DKA : Export des images Factures vers iValua","DKA_IAPIMG_IVALUA","DKA","2026","2026-04","Normal",104,"1.19","2.28","0.07","124.27"
"DKA : Extraction des Ã©vÃ¨nements AR","DKA_IAR_EVENEMENTS_DTR","DKA","2026","2026-04","Normal",96,"0.05","0.12","0.02","4.80"
"DKA : Chargement du fichier du CDF IVALUA dans la table tmp","DKA_LOAD_IAPCTRFLUX_IVALUA","DKA","2026","2026-04","Normal",96,"0.01","0.02","0.00","0.80"
"XXRB - Situation du rapprochement","RBEDDTAG","XXRB","2026","2026-04","Normal",96,"0.07","0.12","0.05","6.67"
"DKA - FA : PRC : TransfÃ©rer des immobilisations vers Oracle Assets","DKA_FA_PAXCPCAL","DKA","2026","2026-04","Normal",96,"0.34","0.35","0.33","32.27"
"DKA : Extraction du statut des factures fournisseurs","DKA_SAPEXTSTATFAC","DKA","2026","2026-04","Normal",96,"0.40","0.70","0.22","38.80"
"DKA - FA : PRC : Valider l'importation des lignes d'immobilisation dans Oracle Assets","DKA_FA_PACFATBP","DKA","2026","2026-04","Normal",96,"0.34","0.35","0.33","32.67"
"DKA : Suivi des notifications ouvertes","DKA_SAPSUIVI_NOTIF","DKA","2026","2026-04","Normal",96,"0.98","1.33","0.63","93.73"
"DKA : Extraction du statut des factures TradeShift","DKA_IAPFACTTDS","DKA","2026","2026-04","Normal",96,"13.30","27.20","3.47","1276.40"
"DKA : Extraction des coordonnÃ©es bancaires","DKA_ICE_BANKBRANCHES_DTR","DKA","2026","2026-04","Normal",96,"0.17","0.30","0.10","15.87"
"DKA : Extraction des engagÃ©s vers Hercule","DKA_IPAEXT_ENG_HER","DKA","2026","2026-04","Normal",96,"26.42","37.52","19.50","2536.40"
"DKA : Extraction du contrÃ´le de flux","DKA_SCTLFLUX_EAI","DKA","2026","2026-04","Normal",96,"68.73","213.27","23.73","6598.40"
"DKA : Insertion des donnÃ©es CDF IVALUA dans la table d'interface","DKA_INSERT_CDF_IVALUA","DKA","2026","2026-04","Normal",96,"0.00","0.02","0.00","0.40"
"DKA : Import des commandes depuis iValua - Chargement des fichiers","DKA_IPOCDEIVALUA_LOADER","DKA","2026","2026-04","Normal",96,"1.17","1.37","0.78","112.67"
"DKA : Registre des rÃ¨glements clients","DKA_RARREGREGCLI","DKA","2026","2026-04","Normal",96,"1.17","1.37","0.90","112.27"
"XXRB - Import des mouvements comptables","RBINTOAF","XXRB","2026","2026-04","Normal",96,"1.90","3.53","1.43","182.67"
"Jeu de traitements DKA : GÃ©nÃ©ration des immobilisations dans FA","DKA_SJTFAGENIMMO","DKA","2026","2026-04","Normal",96,"1.54","1.68","1.48","148.27"
"DKA : Alimentation des tables OA factures DSP","DKA_POPULATE_DSP_TABLES","DKA","2026","2026-04","Normal",96,"0.00","0.02","0.00","0.27"
"DKA : Chargement du fichier des factures DSP","DKA_LOAD_IAPFACDSP_TMP","DKA","2026","2026-04","Normal",96,"0.01","0.02","0.00","0.80"
"DKA : Import des donnÃ©es RÃ©ceptions depuis iValua Loader","DKA_IPORECEPTION_IVALUA_LOADER","DKA","2026","2026-04","Normal",96,"0.20","0.33","0.15","19.07"
"DKA : Import des codes de dÃ©blocage Facture depuis IVALUA","DKA_IAPFAC_DEBLOC_INTERFACE","DKA","2026","2026-04","Warning",96,"1.67","2.38","0.42","160.80"
"DKA : Import des contrats SSTR depuis iValua - Chargement des fichiers","DKA_IPOCTR_SSTR_IVALUA_LOADER","DKA","2026","2026-04","Normal",96,"0.21","0.25","0.17","20.00"
"DKA - FA : Automatisation des acquisitions en HV","DKA_FA_AUTOACQ","DKA","2026","2026-04","Normal",96,"0.02","0.03","0.00","1.73"
"DKA - FA : Imputer des acquisitions en haut volume","DKA_FA_FNDRSSUB46","DKA","2026","2026-04","Normal",96,"0.34","0.35","0.33","32.27"
"DKA Compression des fichiers en zip","DKA_COMPRESS_FICHIER","DKA","2026","2026-04","Normal",96,"0.01","0.02","0.00","1.20"
"DKA : Import des images des factures INVOICE","DKA_APLOADIMG","DKA","2026","2026-04","Normal",96,"0.88","1.38","0.60","84.40"
"DKA : Import des codes de dÃ©blocage Facture depuis IVALUA - Chargement du fichier","DKA_IAPFAC_DEBLOC_LOADER","DKA","2026","2026-04","Normal",96,"0.21","0.25","0.15","20.00"
"DKA: Import des clients OI","DKA_ICLIENTIFS_3","DKA","2026","2026-04","Normal",96,"75.00","150.00","26.00","7200.27"
"DKA : CrÃ©ation des encaissements clients pour le compte de","DKA_SARAUTENC","DKA","2026","2026-04","Normal",88,"0.09","0.12","0.05","7.73"
"DKA : CrÃ©ation des rÃ¨glements pour la campagne de prÃ©lÃ¨vement AP - RB","DKA_PREL_AP_RB_CREA","DKA","2026","2026-04","Normal",88,"12.65","41.32","2.37","1112.80"
"DKA : Import des clients : Pre Open Interface","DKA_ICLIENTIFS_1","DKA","2026","2026-04","Warning",88,"284.77","984.58","0.42","25060.13"
"DKA : Chargement du fichier du CDF Xerox dans la table tmp","DKA_LOAD_IAPCTRFLUX_XEROX","DKA","2026","2026-04","Normal",88,"0.01","0.02","0.00","0.53"
"DKA : Automatisation avis de prÃ©lÃ¨vements clients","DKA_SARAVIPRELEV","DKA","2026","2026-04","Normal",88,"8.02","40.03","0.33","706.13"
"DKA : Insertion des donnÃ©es CDF Xerox dans la table d'interface","DKA_INSERT_CDF_XEROX","DKA","2026","2026-04","Normal",88,"0.01","0.02","0.00","0.67"
"DKA : Export des commandes OA vers Xerox","DKA_IPOEXTRACTCDE","DKA","2026","2026-04","Normal",88,"0.23","0.32","0.18","20.13"
"DKA : Envoi des Ã©tats de prÃ©lÃ¨vement automatique fournisseur par mail","DKA_ENVOI_MAIL_PRLVT","DKA","2026","2026-04","Normal",88,"0.34","0.35","0.33","29.87"
"DKA : Calculer les plus- et moins-values","DKA_FARET","DKA","2026","2026-04","Normal",88,"37.24","47.35","27.03","3277.07"
"DKA : Edition des relevÃ©s bancaires pour les CSP","DKA_SRBRELBANC_CSP","DKA","2026","2026-04","Warning",88,"0.64","0.88","0.45","56.13"
"DKA : Chargement du fichier des factures Xerox","DKA_LOAD_IAPFACXGS_TMP","DKA","2026","2026-04","Normal",88,"0.01","0.02","0.00","0.80"
"DKA - Alimenter les rÃ©fÃ©rences de facture AP dans RB","DKA_ALIMREFFACTURE_AP_RB","DKA","2026","2026-04","Normal",88,"1.33","2.57","1.00","117.47"
"DKA : Alimentation de la rÃ©fÃ©rence pour la ligne GL dans RB","DKA_SRBALIMREF","DKA","2026","2026-04","Normal",88,"0.00","0.02","0.00","0.13"
"DKA : Mise Ã  jour des rattachements de sites fournisseurs sur commande ouverte globale","DKA_SPODUPSITECOG","DKA","2026","2026-04","Normal",88,"0.65","1.32","0.13","57.20"
"DKA : Import des donnÃ©es depuis GL_INTERFACE","DKA_IGL_INTERFACE_EAI","DKA","2026","2026-04","Normal",88,"0.36","0.53","0.20","32.00"
"DKA: Pre Import des clients","DKA_ICLIENTIFS_4","DKA","2026","2026-04","Normal",88,"0.26","0.57","0.03","23.20"
"DKA : Duplication en masse des sites fournisseurs","DKA_SAPFRSDUPLI_MASSE","DKA","2026","2026-04","Warning",88,"0.01","0.02","0.00","0.93"
"CrÃ©er des lots de rÃ¨glements","IBY_FC_CREATE_SETTLE_BATCHES","IBY","2026","2026-04","Normal",88,"0.23","0.62","0.07","20.27"
"DKA : Flux SI / CM - Extraction en cours recouvrement","DKA_IAR_ENCOURS_REC_SICM","DKA","2026","2026-04","Normal",88,"6.34","7.50","5.68","557.73"
"DKA - Identification des factures AP Ã©ligibles au rapprochement RB","DKA_SRBFACTURE_AP","DKA","2026","2026-04","Normal",88,"21.28","25.28","18.12","1872.80"
"DKA : Export du rÃ©fÃ©rentiel employÃ© vers NOTILUS","DKA_IAPEMPLNOT","DKA","2026","2026-04","Normal",88,"0.35","0.72","0.12","30.93"
"Progr. trait. simultanÃ©s maÃ®tre interface clients","RACUSTMA","AR","2026","2026-04","Normal",88,"70.60","149.67","25.77","6212.93"
